sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-26 14:14:37,event,,scenario_meta,,,,
2026-05-26 14:14:55,event,setup,phase_start,,,,
2026-05-26 14:14:55,event,setup,scenario_start,,,on_robot=True,
2026-05-26 14:14:58,event,await_person,phase_start,,,,
2026-05-26 14:15:12,event,await_person,person_detected,,,,
2026-05-26 14:15:14,event,greeting,phase_start,,,,
2026-05-26 14:15:34,event,greeting,stt_listen_start,,,,
2026-05-26 14:15:39,event,greeting,stt_heard,,,yes,4726
2026-05-26 14:15:39,event,greeting,classified,,,result=yes,
2026-05-26 14:15:39,dialog,greeting,,user,yes,,
2026-05-26 14:15:40,event,rules,phase_start,,,,
2026-05-26 14:16:04,event,rules,stt_listen_start,,,,
2026-05-26 14:16:18,event,rules,stt_heard,,,and the,13711
2026-05-26 14:16:18,event,rules,classified,,,result=unmatched,
2026-05-26 14:16:18,dialog,rules,,user,and the,,
2026-05-26 14:16:25,event,rules,stt_listen_start,,,,
2026-05-26 14:16:27,event,rules,stt_heard,,,read them,2602
2026-05-26 14:16:27,event,rules,classified,,,result=unmatched,
2026-05-26 14:16:27,dialog,rules,,user,read them,,
2026-05-26 14:16:34,event,rules,stt_listen_start,,,,
2026-05-26 14:16:37,event,rules,stt_heard,,,read them,2742
2026-05-26 14:16:37,event,rules,classified,,,result=unmatched,
2026-05-26 14:16:37,dialog,rules,,user,read them,,
2026-05-26 14:16:44,event,rules,stt_listen_start,,,,
2026-05-26 14:16:48,event,rules,stt_heard,,,and that can stop,3778
2026-05-26 14:16:48,event,rules,classified,,,result=unmatched,
2026-05-26 14:16:48,dialog,rules,,user,and that can stop,,
2026-05-26 14:16:56,event,rules,stt_listen_start,,,,
2026-05-26 14:17:04,event,rules,stt_heard,,,read them,8717
2026-05-26 14:17:04,event,rules,classified,,,result=unmatched,
2026-05-26 14:17:04,dialog,rules,,user,read them,,
2026-05-26 14:17:12,event,rules,stt_listen_start,,,,
2026-05-26 14:17:14,event,rules,stt_heard,,,and stop,2329
2026-05-26 14:17:14,event,rules,classified,,,result=unmatched,
2026-05-26 14:17:14,dialog,rules,,user,and stop,,
2026-05-26 14:17:21,event,rules,stt_listen_start,,,,
2026-05-26 14:17:24,event,rules,stt_heard,,,read them,2685
2026-05-26 14:17:24,event,rules,classified,,,result=unmatched,
2026-05-26 14:17:24,dialog,rules,,user,read them,,
2026-05-26 14:17:30,event,rules,stt_listen_start,,,,
2026-05-26 14:17:37,event,rules,stt_heard,,,i'm read them,7201
2026-05-26 14:17:37,event,rules,classified,,,result=unmatched,
2026-05-26 14:17:37,dialog,rules,,user,i'm read them,,
2026-05-26 14:17:45,event,rules,stt_listen_start,,,,
2026-05-26 14:17:58,event,rules,stt_heard,,,stop,12791
2026-05-26 14:17:58,event,rules,classified,,,result=unmatched,
2026-05-26 14:17:58,dialog,rules,,user,stop,,
2026-05-26 14:18:06,event,rules,stt_listen_start,,,,
2026-05-26 14:18:09,event,rules,stt_heard,,,stop,2799
2026-05-26 14:18:09,event,rules,classified,,,result=unmatched,
2026-05-26 14:18:09,dialog,rules,,user,stop,,
2026-05-26 14:18:16,event,rules,stt_listen_start,,,,
2026-05-26 14:18:18,event,rules,stt_heard,,,right,2323
2026-05-26 14:18:18,event,rules,classified,,,result=unmatched,
2026-05-26 14:18:18,dialog,rules,,user,right,,
2026-05-26 14:18:25,event,rules,stt_listen_start,,,,
2026-05-26 14:18:30,event,rules,stt_heard,,,go,4885
2026-05-26 14:18:30,event,rules,classified,,,result=ready,
2026-05-26 14:18:30,dialog,rules,,user,go,,
2026-05-26 14:18:31,event,level_select,phase_start,,,,
2026-05-26 14:18:37,event,level_select,level_confirmed,,,name=Junior,
2026-05-26 14:18:37,event,setup_board,phase_start,,,,
2026-05-26 14:18:51,event,setup_board,stt_listen_start,,,,
2026-05-26 14:19:02,event,setup_board,stt_heard,,,finished,10745
2026-05-26 14:19:02,event,setup_board,classified,,,result=done,
2026-05-26 14:19:02,dialog,setup_board,,user,finished,,
2026-05-26 14:19:05,event,solving,phase_start,,,,
2026-05-26 14:19:22,event,solving,stt_listen_start,,,,
2026-05-26 14:19:37,event,solving,stt_silence,,,,15142
2026-05-26 14:19:39,event,solving,stt_listen_start,,,,
2026-05-26 14:19:54,event,solving,stt_heard,,,huh,15190
2026-05-26 14:19:54,dialog,solving,,user,huh,,
2026-05-26 14:19:58,event,solving,stt_listen_start,,,,
2026-05-26 14:20:13,event,solving,stt_silence,,,,15098
2026-05-26 14:20:14,event,solving,stt_listen_start,,,,
2026-05-26 14:20:24,event,solving,stt_heard,,,finished,10449
2026-05-26 14:20:24,event,solving,user_finished,,,hints_used=0,
2026-05-26 14:20:24,dialog,solving,,user,finished,,
2026-05-26 14:20:27,event,solution_check,phase_start,,,,
2026-05-26 14:20:35,event,solution_check,stt_listen_start,,,,
2026-05-26 14:20:37,event,solution_check,stt_heard,,,no,2497
2026-05-26 14:20:37,event,solution_check,classified,,,result=diff,
2026-05-26 14:20:37,dialog,solution_check,,user,no,,
2026-05-26 14:20:38,event,solution_check,solution_compared,,,matched=False,
2026-05-26 14:20:38,event,celebrate,phase_start,,,,
2026-05-26 14:20:38,event,celebrate,outcome,,,unique,
2026-05-26 14:20:48,event,end,phase_start,,,,
2026-05-26 14:20:57,event,end,scenario_end,,,,
