sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-26 15:28:54,event,,scenario_meta,,,,
2026-05-26 15:29:10,event,setup,phase_start,,,,
2026-05-26 15:29:10,event,setup,scenario_start,,,on_robot=True,
2026-05-26 15:29:13,event,await_person,phase_start,,,,
2026-05-26 15:29:25,event,await_person,person_detected,,,,
2026-05-26 15:29:27,event,greeting,phase_start,,,,
2026-05-26 15:29:44,event,greeting,touch_wait_start,,,,
2026-05-26 15:29:47,event,greeting,tablet_heard,,,play,3321
2026-05-26 15:29:47,event,greeting,classified,,,result=yes,
2026-05-26 15:29:47,event,rules,phase_start,,,,
2026-05-26 15:29:47,dialog,greeting,,tablet_touch,play,,
2026-05-26 15:30:13,event,rules,touch_wait_start,,,,
2026-05-26 15:30:15,event,rules,tablet_heard,,,ready,2718
2026-05-26 15:30:15,event,rules,classified,,,result=ready,
2026-05-26 15:30:15,event,level_select,phase_start,,,,
2026-05-26 15:30:15,dialog,rules,,tablet_touch,ready,,
2026-05-26 15:30:21,event,level_select,level_confirmed,,,name=Junior,
2026-05-26 15:30:21,event,setup_board,phase_start,,,,
2026-05-26 15:30:35,event,setup_board,touch_wait_start,,,,
2026-05-26 15:31:00,event,setup_board,tablet_heard,,,done,25590
2026-05-26 15:31:00,event,setup_board,classified,,,result=done,
2026-05-26 15:31:00,dialog,setup_board,,tablet_touch,done,,
2026-05-26 15:31:03,event,solving,phase_start,,,,
2026-05-26 15:31:22,event,solving,touch_wait_start,,,,
2026-05-26 15:32:30,event,solving,tablet_heard,,,finished,67614
2026-05-26 15:32:30,event,solving,user_finished,,,hints_used=0,
2026-05-26 15:32:30,dialog,solving,,tablet_touch,finished,,
2026-05-26 15:32:32,event,solution_check,phase_start,,,,
2026-05-26 15:32:39,event,solution_check,touch_wait_start,,,,
2026-05-26 15:32:44,event,solution_check,tablet_heard,,,no,4296
2026-05-26 15:32:44,event,solution_check,classified,,,result=diff,
2026-05-26 15:32:44,event,solution_check,solution_compared,,,matched=False,
2026-05-26 15:32:44,event,celebrate,phase_start,,,,
2026-05-26 15:32:44,event,celebrate,outcome,,,unique,
2026-05-26 15:32:44,dialog,solution_check,,tablet_touch,no,,
2026-05-26 15:32:53,event,end,phase_start,,,,
2026-05-26 15:33:01,event,end,scenario_end,,,,
